Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Belize,BLZ,33.54063781333333,112.50253677368163,77.48647880554198,6.207993888854977,11.811111132303871,336634.6666666667
Benin,BEN,5.557484320666667,120.18303108215338,53.25578212738037,4.4513084547860275,1.0444444550408265,9752250.666666666
Bermuda,BMU,90.86876824111111,88.98293431599937,74.9268633524577,2.1866375505924225,,65122.333333333336
Bhutan,BTN,21.288071614444444,105.63308525085452,69.84597723824639,5.282460008348735,2.9555555714501267,751454.0
Bolivia,BOL,29.321087249999998,102.35254096984855,84.30198287963869,7.078002861567906,3.3444444603390155,10241022.444444444
Bosnia and Herzegovina,BIH,52.07627871222222,,,,26.38888888888888,3643676.3333333335
Botswana,BWA,20.757755021111112,107.65146942138699,76.861572265625,9.63292026519775,16.699999915228958,2093143.3333333333
Brazil,BRA,47.95018899666667,123.18116542271216,98.24323708670487,5.652451594670613,8.522222201029459,200461744.7777778
British Virgin Islands,VGB,,96.31462478637691,98.17648969377782,4.990250110626216,,
Brunei Darussalam,BRN,60.41589611555556,107.56852912902862,100.08538055419928,3.2073799610137916,6.044444455040826,400400.55555555556
Bulgaria,BGR,50.64592537555556,100.67457580566399,94.4620914459229,3.9148983558019013,9.700000021192782,7309076.111111111
Burkina Faso,BFA,6.113631231777777,81.7126760482788,25.40642619132995,4.2894983291625985,3.277777724795868,16611657.666666666
Burundi,BDI,1.969341033,128.24073410034188,29.80679975237166,5.92540502548218,1.5777777963214465,9338534.0
Cabo Verde,CPV,33.958544591111114,112.04869461059562,89.1980562210083,5.278678131103514,10.622222158643922,514681.3333333333
Cambodia,KHM,8.412298533333335,121.08131885528562,45.0513305664063,1.699338336785635,0.23333333763811298,14796410.666666666
Cameroon,CMR,10.659446654444444,108.44433702741343,48.58924320765904,3.1362900336583466,3.9555555184682225,21120244.888888888
Canada,CAN,83.83666666666666,99.02522786458326,105.14463678995783,5.038020014762875,7.244444529215495,34756443.666666664
Cayman Islands,CYM,70.24066055444445,,,,,57231.666666666664
Central African Republic,CAF,2.7555555555555555,90.7088623046875,16.2781302134196,1.2553299963474276,6.14444430669149,4480052.888888889
Chad,TCD,2.4766666666666666,88.05121994018555,22.447416305542,2.321307992935182,5.755555523766413,12742513.111111112
Channel Islands,CHI,,,,,7.388888888888889,161229.77777777778
Chile,CHL,53.39651192111111,103.13497447967512,96.57438468933114,4.388078808784485,7.144444465637207,17299672.888888888
China,CHN,40.40001305444444,109.63426971435537,88.54010486602786,,4.433333343929714,1351108888.8888888
Colombia,COL,44.41582020333333,120.559878349304,99.51767444610594,4.547891318798065,10.333333333333346,46837883.44444445
Comoros,COM,5.772531162777778,105.51049041748075,59.84135055541995,5.172629912694295,19.95555559794108,724946.6666666666
"Congo, Dem. Rep.",COD,2.2011038424444447,99.59535871233261,40.56420789446147,1.9235649704933149,3.688888920678037,69218916.66666667
"Congo, Rep.",COG,6.1046809902222225,111.115771484375,54.5433807373047,6.2178897857666,11.900000148349323,4627321.777777778
Costa Rica,CRI,46.064873221111114,114.0599184036255,108.19201564788818,6.463086247444153,8.833333333333334,4649638.777777778
Cote d'Ivoire,CIV,10.46518487,83.27145712716239,41.99994468688965,4.571320056915283,9.288888719346788,21494627.777777776
Croatia,HRV,60.99088424333334,95.18671321868896,99.65751743316653,4.328432083129885,13.655555301242382,4299758.777777778
Cuba,CUB,23.71760443,99.96090698242193,94.31689071655275,13.340503374735533,2.600000023841859,11387505.777777778
Curacao,CUW,,175.244186401367,88.3455429077148,4.93095016479492,,149390.0
Cyprus,CYP,60.562313437777775,101.24143695831299,96.72370147705078,6.608489990234374,10.555555582046516,1131050.888888889
Czech Republic,CZE,71.18135106,101.77292823791498,98.90884876251225,4.103990038235984,6.02222220102946,10495237.0
Denmark,DNK,91.84089004,100.68080139160143,124.05741691589363,8.181371529897055,6.444444391462539,5599950.111111111
Djibouti,DJI,8.143842159111111,64.99209785461426,41.66423654556275,4.48079013824463,6.07777770360311,881849.0
Dominica,DMA,52.17333333333333,112.51759338378899,99.0686813354493,,,72154.22222222222
Dominican Republic,DOM,41.25377297222222,105.06746768951413,77.14134120941162,,13.977777693006722,10149848.111111112
